Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
4/17/2019,54,Ozone,Santa Clarita,06-037-6012,AQS,8,54,3,16,48,49
4/18/2019,97,Ozone,Azusa,06-037-0002,AQS,10,97,6,19,63,61
4/19/2019,100,Ozone,Lancaster-Division Street,06-037-9033,AQS,7,100,4,34,69,41
4/20/2019,67,Ozone,Lancaster-Division Street,06-037-9033,AQS,6,67,1,14,54,18
4/21/2019,51,Ozone,Azusa,06-037-0002,AQS,5,51,1,16,45,19
4/22/2019,56,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,6,47,3,24,56,38
4/23/2019,69,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,8,58,1,34,69,42
4/24/2019,93,Ozone,Santa Clarita,06-037-6012,AQS,7,93,1,35,67,39
4/25/2019,97,Ozone,Santa Clarita,06-037-6012,AQS,6,97,3,37,71,33
4/26/2019,87,Ozone,Lancaster-Division Street,06-037-9033,AQS,6,87,1,34,72,37
4/27/2019,73,PM2.5,Glendora,06-037-0016,AQS,5,50,0,32,73,15
4/28/2019,66,PM2.5,Glendora,06-037-0016,AQS,5,51,3,24,66,18
4/29/2019,49,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,5,38,0,14,49,33
4/30/2019,50,NO2,Long Beach-Route 710 Near Road,06-037-4008,AQS,3,45,0,12,43,50
5/1/2019,54,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,50,1,24,54,42
5/2/2019,84,Ozone,Lancaster-Division Street,06-037-9033,AQS,7,84,1,30,59,38
5/3/2019,105,Ozone,Lancaster-Division Street,06-037-9033,AQS,6,105,1,41,63,33
5/4/2019,100,Ozone,Azusa,06-037-0002,AQS,5,100,0,31,68,24
5/5/2019,64,Ozone,Azusa,06-037-0002,AQS,5,64,0,27,59,11
5/6/2019,46,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,3,44,0,13,46,41
5/7/2019,38,Ozone,Lancaster-Division Street,06-037-9033,AQS,3,38,0,20,35,30
5/8/2019,42,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,42,0,20,39,40
5/9/2019,42,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,42,0,20,40,32
5/10/2019,40,Ozone,Lancaster-Division Street,06-037-9033,AQS,6,40,0,10,34,28
5/11/2019,48,Ozone,Reseda,06-037-1201,AQS,8,48,1,10,45,26
5/12/2019,74,Ozone,Santa Clarita,06-037-6012,AQS,6,74,1,16,50,20
5/13/2019,77,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,77,0,24,57,31
5/14/2019,97,Ozone,Reseda,06-037-1201,AQS,5,97,0,33,65,35
5/15/2019,64,PM2.5,Glendora,06-037-0016,AQS,5,58,0,28,64,33
5/16/2019,48,Ozone,Reseda,06-037-1201,AQS,3,48,0,9,37,41
5/17/2019,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,7,49,0,12,52,41
5/18/2019,58,Ozone,Azusa,06-037-0002,AQS,6,58,1,17,50,23
5/19/2019,47,Ozone,Azusa,06-037-0002,AQS,3,47,0,6,29,10
5/20/2019,49,Ozone,Reseda,06-037-1201,AQS,5,49,0,6,41,39
5/21/2019,48,PM10,Long Beach (Hudson),06-037-4006,AQS,3,44,0,48,39,37
5/22/2019,42,Ozone,Reseda,06-037-1201,AQS,3,42,3,.,38,35
5/23/2019,49,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,6,37,0,.,49,38
5/24/2019,50,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AQS,8,48,1,11,50,41
5/25/2019,58,Ozone,Santa Clarita,06-037-6012,AQS,5,58,0,16,46,24
5/26/2019,44,Ozone,Azusa,06-037-0002,AQS,3,44,0,7,34,11
5/27/2019,48,Ozone,Reseda,06-037-1201,AQS,5,48,1,12,36,24
5/28/2019,46,PM2.5,Los Angeles-North Main Street,06-037-1103,AQS,6,44,1,8,46,37
5/29/2019,67,Ozone,Santa Clarita,06-037-6012,AQS,7,67,1,18,53,38
5/30/2019,87,Ozone,Santa Clarita,06-037-6012,AQS,5,87,0,16,70,30
5/31/2019,90,Ozone,Santa Clarita,06-037-6012,AQS,5,90,0,17,68,25
6/1/2019,64,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,64,0,19,56,17
6/2/2019,61,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,61,0,16,53,13
6/3/2019,67,Ozone,Santa Clarita,06-037-6012,AQS,5,67,0,19,56,46
6/4/2019,90,Ozone,Santa Clarita,06-037-6012,AQS,5,90,0,24,66,32
6/5/2019,143,Ozone,Santa Clarita,06-037-6012,AQS,5,143,0,26,69,28
6/6/2019,129,Ozone,Santa Clarita,06-037-6012,AQS,6,129,1,21,65,30
6/7/2019,93,Ozone,Santa Clarita,06-037-6012,AQS,5,93,1,29,61,24
6/8/2019,105,Ozone,Glendora,06-037-0016,AQS,5,105,1,33,59,20
6/9/2019,151,Ozone,Glendora,06-037-0016,AQS,5,151,1,22,61,25
6/10/2019,126,Ozone,Glendora,06-037-0016,AQS,8,126,3,20,56,52
6/11/2019,172,Ozone,Glendora,06-037-0016,AQS,7,172,1,28,64,43
6/12/2019,200,Ozone,Santa Clarita,06-037-6012,AQS,6,200,1,27,67,29
6/13/2019,71,PM2.5,Glendora,06-037-0016,AQS,5,71,0,26,71,25
6/14/2019,64,Ozone,Santa Clarita,06-037-6012,AQS,5,64,1,35,60,28
6/15/2019,100,Ozone,Santa Clarita,06-037-6012,AQS,5,100,0,23,62,12
6/16/2019,87,Ozone,Glendora,06-037-0016,AQS,5,87,0,21,66,14
6/17/2019,71,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,71,0,26,45,18
6/18/2019,74,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,74,1,31,56,28
6/19/2019,105,Ozone,Santa Clarita,06-037-6012,AQS,5,105,4,29,61,28
6/20/2019,61,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,61,3,34,54,29
6/21/2019,43,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,43,0,23,28,17
6/22/2019,51,Ozone,Santa Clarita,06-037-6012,AQS,3,51,1,22,40,20
6/23/2019,97,Ozone,Santa Clarita,06-037-6012,AQS,5,97,0,20,56,16
6/24/2019,90,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,90,0,25,62,42
6/25/2019,87,Ozone,Lancaster-Division Street,06-037-9033,AQS,5,87,0,25,58,28
6/26/2019,71,Ozone,Santa Clarita,06-037-6012,AQS,5,71,0,26,56,28
6/27/2019,105,Ozone,Glendora,06-037-0016,AQS,5,105,1,28,58,30
6/28/2019,112,Ozone,Glendora,06-037-0016,AQS,5,112,3,28,58,35
6/29/2019,112,Ozone,Glendora,06-037-0016,AQS,7,112,4,20,57,28
6/30/2019,122,Ozone,Glendora,06-037-0016,AQS,7,122,4,22,57,25
7/1/2019,115,Ozone,Santa Clarita,06-037-6012,AQS,6,115,3,27,60,36
7/2/2019,129,Ozone,Santa Clarita,06-037-6012,AQS,5,129,1,44,61,31
7/3/2019,108,Ozone,Santa Clarita,06-037-6012,AQS,5,108,0,37,64,28
7/4/2019,91,PM2.5,Compton,06-037-1302,AQS,5,80,0,42,91,15
7/5/2019,161,PM2.5,Glendora,06-037-0016,AQS,5,115,1,72,161,23
7/6/2019,133,Ozone,Santa Clarita,06-037-6012,AQS,5,133,1,35,71,17
7/7/2019,87,Ozone,Santa Clarita,06-037-6012,AQS,5,87,0,26,63,9
7/8/2019,67,Ozone,Santa Clarita,06-037-6012,AQS,5,67,0,33,56,26
7/9/2019,93,Ozone,Glendora,06-037-0016,AQS,5,93,1,30,65,32
7/10/2019,122,Ozone,Santa Clarita,06-037-6012,AQS,6,122,4,33,63,36
7/11/2019,136,Ozone,Santa Clarita,06-037-6012,AQS,7,136,7,40,67,35
7/12/2019,201,Ozone,Santa Clarita,06-037-6012,AQS,6,201,4,40,71,34
7/13/2019,179,Ozone,Santa Clarita,06-037-6012,AQS,6,179,1,37,70,27
7/14/2019,166,Ozone,Glendora,06-037-0016,AQS,6,166,6,35,68,18
7/15/2019,177,Ozone,Glendora,06-037-0016,AQS,7,177,7,39,71,35
7/16/2019,140,Ozone,Santa Clarita,06-037-6012,AQS,9,140,3,36,70,45
7/17/2019,90,Ozone,Santa Clarita,06-037-6012,AQS,5,90,1,31,60,21
7/18/2019,61,Ozone,Glendora,06-037-0016,AQS,5,61,3,31,57,30
7/19/2019,54,PM2.5,Glendora,06-037-0016,AQS,5,51,1,26,54,21
7/20/2019,97,Ozone,Glendora,06-037-0016,AQS,5,97,3,23,54,16
7/21/2019,101,Ozone,Glendora,06-037-0016,AQS,5,101,6,21,54,19
7/22/2019,126,Ozone,Santa Clarita,06-037-6012,AQS,6,126,4,36,61,33
7/23/2019,161,Ozone,Glendora,06-037-0016,AQS,8,161,7,39,63,42
7/24/2019,126,Ozone,Reseda,06-037-1201,AQS,8,126,10,30,59,45
7/25/2019,126,Ozone,Santa Clarita,06-037-6012,AQS,7,126,6,33,62,39
7/26/2019,140,Ozone,Santa Clarita,06-037-6012,AQS,6,140,7,56,64,37
7/27/2019,179,Ozone,Glendora,06-037-0016,AQS,8,179,6,32,62,34
7/28/2019,169,Ozone,Santa Clarita,06-037-6012,AQS,6,169,4,31,66,25
