Date,2020 AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (1980-2019),20-year Low (1980-2019),5-year Median (2015-2019),New Date
3/3/2020,44,Ozone,Pasadena,06-037-2005,AirNow,86,37,49,3-Mar
3/4/2020,59,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,97,37,57,4-Mar
3/5/2020,72,PM2.5,Long Beach (South),06-037-4004,AirNow,103,37,48,5-Mar
3/6/2020,66,PM2.5,Glendora,06-037-0016,AirNow,97,35,45,6-Mar
3/7/2020,42,Ozone,Pasadena,06-037-2005,AirNow,98,37,52,7-Mar
3/8/2020,42,Ozone,Pasadena,06-037-2005,AirNow,148,37,59,8-Mar
3/9/2020,38,Ozone,Pasadena,06-037-2005,AirNow,144,44,67,9-Mar
3/10/2020,28,Ozone,Reseda,06-037-1201,AirNow,160,41,76,10-Mar
3/11/2020,41,Ozone,Reseda,06-037-1201,AirNow,163,45,53,11-Mar
3/12/2020,43,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,124,49,58,12-Mar
3/13/2020,37,Ozone,Santa Clarita,06-037-6012,AirNow,143,48,55,13-Mar
3/14/2020,41,Ozone,Reseda,06-037-1201,AirNow,143,41,48,14-Mar
3/15/2020,43,Ozone,Pasadena,06-037-2005,AirNow,161,43,54,15-Mar
3/16/2020,38,Ozone,Lancaster-Division Street,06-037-9033,AirNow,152,42,72,16-Mar
3/17/2020,43,Ozone,Pasadena,06-037-2005,AirNow,150,43,87,17-Mar
3/18/2020,46,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,157,43,87,18-Mar
3/19/2020,44,Ozone,Reseda,06-037-1201,AirNow,155,48,79,19-Mar
3/20/2020,43,Ozone,Pasadena,06-037-2005,AirNow,148,46,62,20-Mar
3/21/2020,47,Ozone,Reseda,06-037-1201,AirNow,157,44,60,21-Mar
3/22/2020,43,Ozone,Pasadena,06-037-2005,AirNow,137,40,56,22-Mar
3/23/2020,45,Ozone,Pasadena,06-037-2005,AirNow,96,41,51,23-Mar
3/24/2020,43,Ozone,Pasadena,06-037-2005,AirNow,119,44,56,24-Mar
3/25/2020,44,Ozone,Reseda,06-037-1201,AirNow,112,45,58,25-Mar
3/26/2020,45,Ozone,Pasadena,06-037-2005,AirNow,106,43,58,26-Mar
3/27/2020,47,Ozone,Reseda,06-037-1201,AirNow,108,44,54,27-Mar
3/28/2020,54,Ozone,Pasadena,06-037-2005,AirNow,115,37,58,28-Mar
3/29/2020,54,Ozone,Pasadena,06-037-2005,AirNow,102,42,64,29-Mar
3/30/2020,54,Ozone,Pasadena,06-037-2005,AirNow,133,45,84,30-Mar
3/31/2020,74,Ozone,Pasadena,06-037-2005,AirNow,154,39,90,31-Mar
4/1/2020,67,Ozone,Glendora,06-037-0016,AirNow,154,46,77,1-Apr
4/2/2020,50,PM2.5,Glendora,06-037-0016,AirNow,150,46,73,2-Apr
4/3/2020,54,Ozone,Pasadena,06-037-2005,AirNow,113,40,75,3-Apr
4/4/2020,51,Ozone,Reseda,06-037-1201,AirNow,134,40,77,4-Apr
4/5/2020,37,Ozone,Pomona,06-037-1701,AirNow,135,38,100,5-Apr
4/6/2020,42,Ozone,Reseda,06-037-1201,AirNow,108,42,63,6-Apr
4/7/2020,40,Ozone,Reseda,06-037-1201,AirNow,127,46,67,7-Apr
4/8/2020,43,Ozone,Reseda,06-037-1201,AirNow,133,47,55,8-Apr
4/9/2020,35,Ozone,Reseda,06-037-1201,AirNow,119,49,67,9-Apr
4/10/2020,42,Ozone,Pasadena,06-037-2005,AirNow,108,37,97,10-Apr
4/11/2020,49,Ozone,Pasadena,06-037-2005,AirNow,156,45,71,11-Apr
4/12/2020,40,Ozone,Reseda,06-037-1201,AirNow,143,44,55,12-Apr
4/13/2020,38,Ozone,Reseda,06-037-1201,AirNow,149,42,59,13-Apr
4/14/2020,54,Ozone,Glendora,06-037-0016,AirNow,190,39,77,14-Apr
4/15/2020,77,Ozone,Pasadena,06-037-2005,AirNow,119,43,84,15-Apr
4/16/2020,71,Ozone,Pasadena,06-037-2005,AirNow,164,43,61,16-Apr
4/17/2020,43,Ozone,Reseda,06-037-1201,AirNow,177,36,61,17-Apr
4/18/2020,40,Ozone,Pasadena,06-037-2005,AirNow,143,31,97,18-Apr
4/19/2020,44,Ozone,Pasadena,06-037-2005,AirNow,150,47,100,19-Apr
4/20/2020,43,Ozone,Pasadena,06-037-2005,AirNow,119,42,67,20-Apr
4/21/2020,48,PM2.5,Glendora,06-037-0016,AirNow,179,43,87,21-Apr
4/22/2020,101,Ozone,Glendora,06-037-0016,AirNow,161,43,61,22-Apr
4/23/2020,140,Ozone,Glendora,06-037-0016,AirNow,122,45,69,
4/24/2020,147,Ozone,Pomona,06-037-1701,AirNow,115,41,77,
