Date,2020 AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (1980-2019),20-year Low (1980-2019),5-year Median (2015-2019),New Date
3/12/2020,19,Ozone,CCNY,36-061-0135,AirNow,82,22,35,3/12
3/13/2020,38,Ozone,CCNY,36-061-0135,AirNow,93,26,38,3/13
3/14/2020,32,Ozone,CCNY,36-061-0135,AirNow,118,25,38,3/14
3/15/2020,35,Ozone,CCNY,36-061-0135,AirNow,108,25,42,3/15
3/16/2020,31,Ozone,CCNY,36-061-0135,AirNow,144,28,41,3/16
3/17/2020,24,Ozone,CCNY,36-061-0135,AirNow,75,28,38,3/17
3/18/2020,31,Ozone,CCNY,36-061-0135,AirNow,73,25,36,3/18
3/19/2020,26,Ozone,CCNY,36-061-0135,AirNow,75,24,36,3/19
3/20/2020,34,Ozone,CCNY,36-061-0135,AirNow,94,34,41,3/20
3/21/2020,36,Ozone,CCNY,36-061-0135,AirNow,74,30,53,3/21
3/22/2020,36,Ozone,CCNY,36-061-0135,AirNow,80,30,36,3/22
3/23/2020,29,Ozone,CCNY,36-061-0135,AirNow,90,29,38,3/23
3/24/2020,34,Ozone,CCNY,36-061-0135,AirNow,64,23,42,3/24
3/25/2020,31,Ozone,CCNY,36-061-0135,AirNow,78,23,54,3/25
3/26/2020,31,Ozone,CCNY,36-061-0135,AirNow,71,28,57,3/26
3/27/2020,39,Ozone,CCNY,36-061-0135,AirNow,74,22,35,3/27
3/28/2020,38,Ozone,CCNY,36-061-0135,AirNow,71,26,36,3/28
3/29/2020,38,Ozone,CCNY,36-061-0135,AirNow,87,19,38,3/29
3/30/2020,26,Ozone,CCNY,36-061-0135,AirNow,85,20,35,3/30
3/31/2020,32,Ozone,CCNY,36-061-0135,AirNow,56,30,35,3/31
4/1/2020,38,Ozone,CCNY,36-061-0135,AirNow,85,31,35,4/1
4/2/2020,35,Ozone,CCNY,36-061-0135,AirNow,74,20,39,4/2
4/3/2020,28,Ozone,CCNY,36-061-0135,AirNow,92,26,38,4/3
4/4/2020,33,Ozone,CCNY,36-061-0135,AirNow,66,21,43,4/4
4/5/2020,24,Ozone,CCNY,36-061-0135,AirNow,60,34,37,4/5
4/6/2020,37,Ozone,CCNY,36-061-0135,AirNow,90,30,47,4/6
4/7/2020,43,Ozone,CCNY,36-061-0135,AirNow,80,20,41,4/7
4/8/2020,34,Ozone,CCNY,36-061-0135,AirNow,74,21,31,4/8
4/9/2020,40,Ozone,CCNY,36-061-0135,AirNow,112,28,35,4/9
4/10/2020,33,Ozone,CCNY,36-061-0135,AirNow,84,31,36,4/10
4/11/2020,40,Ozone,CCNY,36-061-0135,AirNow,70,27,41,4/11
4/12/2020,42,Ozone,CCNY,36-061-0135,AirNow,73,30,38,4/12
4/13/2020,40,Ozone,CCNY,36-061-0135,AirNow,66,21,38,4/13
4/14/2020,40,Ozone,CCNY,36-061-0135,AirNow,93,28,35,4/14
4/15/2020,40,Ozone,CCNY,36-061-0135,AirNow,85,25,39,4/15
4/16/2020,37,Ozone,CCNY,36-061-0135,AirNow,72,32,43,4/16
4/17/2020,38,Ozone,CCNY,36-061-0135,AirNow,92,22,37,4/17
4/18/2020,33,Ozone,CCNY,36-061-0135,AirNow,85,24,38,4/18
4/19/2020,46,Ozone,CCNY,36-061-0135,AirNow,98,30,39,4/19
4/20/2020,37,Ozone,CCNY,36-061-0135,AirNow,77,24,36,4/20
4/21/2020,35,Ozone,CCNY,36-061-0135,AirNow,83,32,39,4/21
4/22/2020,36,Ozone,CCNY,36-061-0135,AirNow,85,24,39,4/22
