Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25
3/16/2020,31,Ozone,CCNY,36-061-0135,AirNow,.,31,.,.
3/17/2020,24,Ozone,CCNY,36-061-0135,AirNow,.,24,.,.
3/18/2020,31,Ozone,CCNY,36-061-0135,AirNow,.,31,.,.
3/19/2020,26,Ozone,CCNY,36-061-0135,AirNow,.,26,.,.
3/20/2020,34,Ozone,CCNY,36-061-0135,AirNow,.,34,.,.
3/21/2020,36,Ozone,CCNY,36-061-0135,AirNow,.,36,.,.
3/22/2020,36,Ozone,CCNY,36-061-0135,AirNow,.,36,.,.
3/23/2020,29,Ozone,CCNY,36-061-0135,AirNow,.,29,.,.
3/24/2020,34,Ozone,CCNY,36-061-0135,AirNow,.,34,.,.
3/25/2020,31,Ozone,CCNY,36-061-0135,AirNow,.,31,.,.
3/26/2020,31,Ozone,CCNY,36-061-0135,AirNow,.,31,.,.
3/27/2020,39,Ozone,CCNY,36-061-0135,AirNow,.,39,.,.
3/28/2020,38,Ozone,CCNY,36-061-0135,AirNow,.,38,.,.
3/29/2020,38,Ozone,CCNY,36-061-0135,AirNow,.,38,.,.
3/30/2020,26,Ozone,CCNY,36-061-0135,AirNow,.,26,.,.
3/31/2020,32,Ozone,CCNY,36-061-0135,AirNow,.,32,.,.
4/1/2020,38,Ozone,CCNY,36-061-0135,AirNow,.,38,.,.
4/2/2020,35,Ozone,CCNY,36-061-0135,AirNow,.,35,.,.
4/3/2020,28,Ozone,CCNY,36-061-0135,AirNow,.,28,.,.
4/4/2020,33,Ozone,CCNY,36-061-0135,AirNow,.,33,.,.
4/5/2020,24,Ozone,CCNY,36-061-0135,AirNow,.,24,.,.
4/6/2020,37,Ozone,CCNY,36-061-0135,AirNow,.,37,.,.
4/7/2020,43,Ozone,CCNY,36-061-0135,AirNow,.,43,.,.
4/8/2020,34,Ozone,CCNY,36-061-0135,AirNow,.,34,.,.
4/9/2020,40,Ozone,CCNY,36-061-0135,AirNow,.,40,.,.
4/10/2020,33,Ozone,CCNY,36-061-0135,AirNow,.,33,.,.
4/11/2020,40,Ozone,CCNY,36-061-0135,AirNow,.,40,.,.
4/12/2020,42,Ozone,CCNY,36-061-0135,AirNow,.,42,.,.
4/13/2020,40,Ozone,CCNY,36-061-0135,AirNow,.,40,.,.
4/14/2020,40,Ozone,CCNY,36-061-0135,AirNow,.,40,.,.
4/15/2020,40,Ozone,CCNY,36-061-0135,AirNow,.,40,.,.
4/16/2020,37,Ozone,CCNY,36-061-0135,AirNow,.,37,.,.
4/17/2020,38,Ozone,CCNY,36-061-0135,AirNow,.,38,.,.
4/18/2020,33,Ozone,CCNY,36-061-0135,AirNow,.,33,.,.
4/19/2020,46,Ozone,CCNY,36-061-0135,AirNow,.,46,.,.
4/20/2020,37,Ozone,CCNY,36-061-0135,AirNow,.,37,.,.
4/21/2020,35,Ozone,CCNY,36-061-0135,AirNow,.,35,.,.
4/22/2020,36,Ozone,CCNY,36-061-0135,AirNow,.,36,.,.
